flag	count	density
F1	120	1.0000000000e+00
F2	0	0.0000000000e+00
F3	0	0.0000000000e+00
F4	120	1.0000000000e+00
F5	120	1.0000000000e+00
F6	120	1.0000000000e+00
F7	0	0.0000000000e+00
F8	60	5.0000000000e-01
F9	120	1.0000000000e+00
F10	0	0.0000000000e+00
F11	0	0.0000000000e+00
F12	120	1.0000000000e+00
F13	0	0.0000000000e+00
F14	60	5.0000000000e-01
F15	120	1.0000000000e+00
F16	120	1.0000000000e+00
F17	120	1.0000000000e+00
F18	120	1.0000000000e+00
F19	0	0.0000000000e+00
F20	0	0.0000000000e+00
F21	0	0.0000000000e+00
F22	120	1.0000000000e+00
F23	120	1.0000000000e+00
F24	120	1.0000000000e+00
F25	120	1.0000000000e+00
F26	0	0.0000000000e+00
F27	60	5.0000000000e-01
F28	0	0.0000000000e+00
F29	120	1.0000000000e+00
F30	0	0.0000000000e+00
F31	0	0.0000000000e+00
F32	0	0.0000000000e+00
F33	0	0.0000000000e+00
F34	0	0.0000000000e+00
F35	60	5.0000000000e-01
F36	60	5.0000000000e-01
F37	120	1.0000000000e+00
F38	0	0.0000000000e+00
F39	0	0.0000000000e+00
F40	60	5.0000000000e-01
F41	0	0.0000000000e+00
F42	120	1.0000000000e+00
F43	120	1.0000000000e+00
F44	120	1.0000000000e+00
F45	0	0.0000000000e+00
F46	120	1.0000000000e+00
F47	120	1.0000000000e+00
F48	0	0.0000000000e+00
F49	120	1.0000000000e+00
F50	120	1.0000000000e+00
F51	0	0.0000000000e+00
F52	0	0.0000000000e+00
F53	0	0.0000000000e+00
F54	120	1.0000000000e+00
F55	120	1.0000000000e+00
F56	120	1.0000000000e+00
F57	0	0.0000000000e+00
F58	0	0.0000000000e+00
